gloss_input,english_input,filipino_output,origin,context_tag
SLEEP SHE,She's asleep.,Natutulog siya.,ASL,action
SAD YOU ME,You are sad about me.,Malungkot ka tungkol sa akin.,ASL,emotion
I STOP PLAY,I'm quitting playing.,Tumitigil akong maglaro.,FSL,action
I LIKE BOOK,I like books.,Gusto ko ng libro.,FSL,object_things
SHE FIND HOUSE,She'll find a house.,Nakahanap siya ng bahay.,FSL,object_things
HE READ BOOK,He reads a book.,Nagbabasa siya ng libro.,FSL,common_verbs
WE HELP THEY,We help them.,Tinutulungan natin sila.,ASL,common_verbs
TOMORROW HE WORK,Tomorrow he works.,Bukas magtatrabaho siya.,FSL,time
I FINISH PLAY,I finish playing.,Natapos akong maglaro.,FSL,action
I HAPPY NO SAD,I am happy not sad.,Masaya ako hindi malungkot.,MIXED,emotion
I WALK HOME SCHOOL,I'm going from home to school.,Naglalakad ako mula bahay papuntang paaralan.,FSL,place
YOU START,You start.,Nagsisimula ka.,FSL,neutral
WE DRIVE CAR,We're driving a car.,Nagmamaneho tayo ng kotse.,FSL,object_things
I GO WORK MORNING,I'm going to work in the morning.,Pumupunta ako sa trabaho sa umaga.,FSL,time
HE FEEL ANGRY,He feels angry.,Nakakaramdam siya ng galit.,FSL,emotion
YOU NOT YET FINISH,You're not finished yet.,Hindi ka pa tapos.,FSL,time
THEY HAVE WHITE CAR,They have a white car.,Mayroon silang puting kotse.,FSL,color
YOU HELP ME,You're helping me.,Tinutulungan mo ako.,ASL,common_verbs
I DRIVE CAR,I'm driving a car.,Nagmamaneho ako ng kotse.,FSL,object_things
MAYBE,Maybe.,Marahil.,MIXED,neutral
YOU HAVE BOOK,You have a book.,Mayroon kang libro.,FSL,object_things
I NEAR HOME,I am near home.,Malapit ako sa bahay.,FSL,place
YOU LOOK SAD,You look sad.,Mukhang malungkot ka.,FSL,neutral
YOU CAN RUN FAST,You can run fast.,Makakatakbo kang mabilis.,FSL,action
FRIEND HE CALL,He calls his friend.,Tumatawag siya sa kanyang kaibigan.,ASL,people
I BUY ONE BOOK,I buy one book.,Bumibili ako ng isang libro.,FSL,number
I GRATEFUL TO YOU,I'm grateful to you.,Nagpapasalamat ako sa iyo.,FSL,emotion
SHE TIRED NO EXCITED,She is tired not excited.,Pagod siya hindi nasasabik.,MIXED,emotion
YOU KEEP TRYING,You keep trying.,Patuloy kang sumusubok.,FSL,neutral
WHEN PHONE YOU USE,When do you use your phone?,Kailan mo ginagamit ang iyong telepono?,FSL,question
SHE GO STORE,She goes to the store.,Pupunta siya sa tindahan.,FSL,place
YOU WALK TOMORROW,You will walk tomorrow.,Maglalakad ka bukas.,FSL,action
SHE GETTING WORSE,She is getting worse.,Lumalala na siya.,FSL,emotion
SCARED THEY,They are scared.,Takot sila.,ASL,emotion
I LIKE FRIEND,I like my friend.,Gusto ko ang aking kaibigan.,FSL,people
YOU FINISH,You're done.,Natapos ka.,FSL,neutral
PUT THIS,Put that down.,Ilagay mo ito.,FSL,imperative
I VISIT,I visit.,Bumibisita ako.,FSL,neutral
YOU NOT GIVE UP,You're not gonna give up.,Hindi ka susuko.,FSL,neutral
I STOP PLAY NOW,I'm quitting playing now.,Tumitigil akong maglaro ngayon.,FSL,action
I STUDY,I study.,Nag-aaral ako.,FSL,neutral
YOU EAT FOOD FAMILY HOME,You're having dinner with your family at home.,Kumakain ka ng pagkain kasama ang iyong pamilya sa bahay.,FSL,people
YOU MOST SAD,You're the saddest.,Ikaw ang pinakamalungkot.,FSL,emotion
FOOD WE EAT,We eat food.,Kumakain tayo ng pagkain.,ASL,object_things
BLACK,Black.,Itim.,MIXED,color
I SOON GO,I'll be leaving soon.,Pupunta ako mamaya.,FSL,time
EXCITED WE SCHOOL,We are excited about school.,Nasasabik tayo sa paaralan.,ASL,emotion
I STAY SCHOOL,I stay at school.,Nananatili ako sa paaralan.,FSL,place
YOU NOT SURE,You are not sure.,Hindi ka sigurado.,FSL,neutral
WHATSUP FRIEND,What kind of friend is there?,Ano ang balita kaibigan?,MIXED,greeting
HE LIKE ORANGE,He likes orange.,Gusto niya ng kahel.,FSL,color
HOUSE GREEN HE HAVE,He has a green house.,Mayroon siyang berdeng bahay.,ASL,color
I NOT YET EAT,I haven't eaten yet.,Hindi pa ako kumain.,FSL,time
YOU READ WHAT,What are you reading?,Ano ang binabasa mo?,ASL,question
I LOSE,I lose.,Nawawala ako.,FSL,neutral
YOU SLEEP AFTERNOON,You sleep in the afternoon.,Natutulog ka sa hapon.,FSL,time
YOU READ NIGHT,You read at night.,Nagbabasa ka sa gabi.,FSL,action
GOODBYE FRIEND,Goodbye friend.,Paalam kaibigan.,FSL,greeting
YOU STUDY,You study.,Nag-aaral ka.,FSL,neutral
I BUY,I'll buy.,Bumibili ako.,FSL,neutral
WATER,Water.,Tubig.,MIXED,object_things
I READ YOU,I read to you.,Nagbabasa ako para sa iyo.,FSL,action
I SOMETIMES SAD,I'm sad sometimes.,Minsan malungkot ako.,FSL,time
I DECIDE,I decide.,Nagpapasya ako.,FSL,neutral
WHAT DAY YOU GO,What day do you go?,Anong araw ka pupunta?,FSL,question
I EXCITED,I am excited.,Nasasabik ako.,FSL,emotion
I DRINK WATER,I drink water.,Umiinom ako ng tubig.,FSL,common_verbs
HELLO FRIEND HOW,Hello friend how are you?,Kamusta kaibigan kumusta ka?,MIXED,greeting
I PROUD YOU,I'm proud of you.,Ipinagmamalaki kita.,FSL,neutral
SHE VISIT HER FAMILY,She visits her family.,Binibisita niya ang kanyang pamilya.,FSL,people
HEY EVERYONE,"Hey, everybody!",Hoy sa inyong lahat!,MIXED,greeting
I FORGET,I'm forgetting.,Nakalimutan ko.,FSL,neutral
NICE YOU,You're nice.,Mabait ka.,ASL,greeting
YOU WOULD LIKE COME,You would like to come.,Gusto mong dumating.,FSL,common_verbs
THEY LIKE YELLOW,They like yellow.,Gusto nila ng dilaw.,FSL,color
WHAT YOU DO TODAY,What do you do today?,Ano ang ginagawa mo ngayon?,FSL,question
THEY HAVE NICE MOTHER,You have a nice mother.,Mayroon silang mabait na ina.,FSL,people
WE SEE FIVE,We see five.,Nakikita natin ang lima.,FSL,number
YOU MORE SAD TODAY,You are sadder today.,Mas malungkot ka ngayon.,FSL,emotion
YOU LIKE WHAT FOOD,What food do you like?,Anong pagkain ang gusto mo?,ASL,question
I HAVE ONE BOOK RED,I have one red book.,Mayroon akong isang pulang libro.,FSL,number
BOOK I LIKE,I like books.,Gusto ko ng libro.,ASL,object_things
THEY PLAY YESTERDAY,They played yesterday.,Naglaro sila kahapon.,FSL,time
YOU PLEASE COME,Please come.,Pakiusap pumunta ka.,FSL,imperative
HE LESS TIRED NOW,He's less tired now.,Mas hindi pagod siya ngayon.,FSL,emotion
I LOSE,I'm losing.,Nawawala ako.,FSL,neutral
MAYBE HE HELP,Maybe he will help.,Baka tumulong siya.,FSL,common_verbs
WE GOOD FRIEND,We're good friends.,Mabuting mga kaibigan tayo.,ASL,common_verbs
I ANSWER,I'll answer.,Sumasagot ako.,FSL,neutral
YOU HAVE GREEN YELLOW BOOK,You have a green and yellow book.,Mayroon kang berde at dilaw na libro.,FSL,color
I LIKE HOME,I like home.,Gusto ko ang tahanan.,FSL,place
PLEASE COME HERE NOW,Please come here now.,Pakiusap halika dito ngayon.,FSL,imperative
YOU NEED SPACE,You need space.,Kailangan mo ng espasyo.,FSL,neutral
BAD,That's bad.,Masama iyan.,MIXED,common_verbs
FATHER HE MEET,He meets his father.,Nakikita niya ang kanyang ama.,ASL,people
FATHER HE MEET,He's meeting his father.,Nakikita niya ang kanyang ama.,ASL,people
I NEED GO HOME NOW,I have to go home now.,Kailangan kong umuwi ngayon.,FSL,place
THEY WANT SIX PHONE,They want six phones.,Gusto nila ng anim na telepono.,FSL,number
YOU HOLD BOOK,You hold the book.,Hawak mo ang libro.,FSL,neutral
WE PLAY GAME,We're playing a game.,Naglalaro tayo ng laro.,FSL,common_verbs
I MAY GO HOME,I may go home.,Maaaring umuwi ako.,FSL,place
YOU SAD SCHOOL FRIEND YESTERDAY,You were sad at school with your friend yesterday.,Malungkot ka sa paaralan kasama ang iyong kaibigan kahapon.,FSL,emotion
I EAT FOOD,I eat food.,Kumakain ako ng pagkain.,FSL,object_things
I NEVER SAD,I am never sad.,Hindi ako kailanman malungkot.,FSL,emotion
YOU GO WHERE,Where are you going?,Saan ka pupunta?,ASL,question
TODAY WE FREE,Today we are free.,Libre tayo ngayon.,FSL,time
THEY WALK WHERE,Where are they going?,Saan sila naglalakad?,ASL,question
SORRY I LATE,Sorry I'm late.,Pasensya na nahuli ako.,MIXED,greeting
YESTERDAY HE RUN,Yesterday he ran.,Kahapon tumakbo siya.,ASL,action
I TALK WITH FRIEND,I talk with my friend.,Nakikipag-usap ako sa aking kaibigan.,FSL,people
YOU CAN RUN,You can run.,Makakatakbo ka.,FSL,action
I READ TOMORROW,I'll read tomorrow.,Magbabasa ako bukas.,FSL,action
STOP YOU GO,Stay away from leaving.,Pigilin kang pumunta.,ASL,imperative
I COME SCHOOL,I'm coming to school.,Pupupunta ako sa paaralan.,FSL,place
YOU SAD TODAY,You are sad today.,Malungkot ka ngayon.,FSL,emotion
I SEE RED BLUE CAR,I see a red and blue car.,Nakikita ko ang pula at asul na kotse.,FSL,color
YOU RUN,You run.,Tumatakbo ka.,FSL,action
I FORGIVE YOU,I forgive you.,Pinapatawad kita.,FSL,neutral
MOTHER I LOVE,I love my mother.,Mahal ko ang aking ina.,ASL,people
GOODBYE FRIEND,Goodbye.,Paalam kaibigan.,FSL,greeting
YOU RIGHT,You're right.,Tama ka.,FSL,neutral
THEY HAVE HOUSE,They have a house.,Mayroon silang bahay.,FSL,object_things
CAR YOU LIKE,You like cars.,Gusto mo ng kotse.,ASL,object_things
I BECOME HAPPY,I'm gonna be happy.,Nagiging masaya ako.,FSL,emotion
YOU PROUD ME,You're proud of me.,Ipinagmamalaki mo ako.,FSL,neutral
HELLO,Hello.,Kamusta.,ASL,greeting
YOU LOSE,You lose.,Nawawala ka.,FSL,neutral
I GIVE MY MOTHER,I'll give it to my mother.,Nagbibigay ako sa aking ina.,FSL,people
HIS FRIEND NICE,His friend is nice.,Mabait ang kanyang kaibigan.,ASL,people
I SEE FATHER,I see my father.,Nakikita ko ang aking ama.,FSL,people
HE WOULD LIKE HELP,He wants to help.,Gusto niyang tumulong.,FSL,common_verbs
I ASK,I'm asking.,Nagtanong ako.,FSL,neutral
HE HAVE ONE MOTHER,He has a mother.,Mayroon siyang isang ina.,FSL,people
HE NO LONGER TIRED,He's not tired anymore.,Hindi na siya pagod.,FSL,emotion
YOU LIKE BOOK,You like books.,Gusto mo ng libro.,FSL,common_verbs
GOOD AFTERNOON,Good afternoon.,Magandang hapon.,FSL,greeting
I JUST EAT,I just ate.,Kumain lang ako.,FSL,time
TODAY SHE SLEEP,Today she sleeps.,Ngayon natutulog siya.,ASL,action
HE DRINK,He is drinking.,Umiinom siya.,FSL,common_verbs
THEY USE PHONE,They use a phone.,Gumagamit sila ng telepono.,FSL,object_things
HE VERY TIRED WORK,He is very tired from work.,Napakagod niya sa trabaho.,FSL,emotion
FATHER YOU CALL,Call your father.,Tumatawag ka sa iyong ama.,ASL,people
YOU WORK WHERE,Where do you work?,Saan ka nagtatrabaho?,ASL,question
I WALK,I am walking.,Naglalakad ako.,FSL,common_verbs
YOU EMAIL ME,You email me.,Nag-email ka sa akin.,FSL,neutral
SHE LOVE FAMILY,She loves her family.,Mahal niya ang pamilya niya.,FSL,common_verbs
WHY YOU GO HOME,Why do you go home?,Bakit ka uuwi?,FSL,question
I GIVE,I'll give it to you.,Nagbibigay ako.,FSL,neutral
YOU FEEL HOT,You feel hot.,Naiinitan ka.,FSL,neutral
I UNDERSTAND,I understand.,Naiintindihan ko.,FSL,neutral
I SLEEP GOOD,I sleep well.,Natutulog akong mabuti.,FSL,action
YOU NOT SAD,You're not sad.,Hindi ka malungkot.,FSL,emotion
HAPPY,I am happy.,Masaya ako.,MIXED,emotion
I BUY BOOK,I'll buy a book.,Bumibili ako ng libro.,FSL,object_things
YOU CLEAN,You clean.,Naglilinis ka.,FSL,neutral
YOU NO GO WHY,Why don't you go?,Bakit hindi ka pupunta?,ASL,question
PHONE HE HAVE,He's got a phone.,Mayroon siyang telepono.,ASL,object_things
YOU SLEEP,You sleep.,Natutulog ka.,FSL,action
I WALK HOME,I'm going home.,Naglalakad ako pauwi.,FSL,place
YOU SELL,You're selling.,Nagbebenta ka.,FSL,neutral
YOU CHECK,You check.,Sinusuri mo.,FSL,neutral
YOU COME WHEN,When are you coming?,Kailan ka darating?,ASL,question
YOU GIVE UP,You give up.,Sumusuko ka.,FSL,neutral
I STILL WAIT,I'll wait.,Naghihintay pa rin ako.,FSL,time
I COME TOMORROW AFTERNOON,I'll be back tomorrow afternoon.,Darating ako bukas ng hapon.,FSL,time
I VERY HAPPY SEE YOU,I am very happy to see you.,Napakasaya kong makita ka.,FSL,emotion
YOU NOT SAD,You are not sad.,Hindi ka malungkot.,FSL,emotion
YOU COME WITH FATHER,You're coming with your father.,Dumarating ka kasama ang iyong ama.,FSL,people
CALL ME,Call me.,Tawagan mo ako.,FSL,imperative
I HAVE FIVE,I have five.,Mayroon akong lima.,FSL,number
ME,Me.,Ako.,MIXED,people
YOU GO TO SCHOOL,You go to school.,Pupunta ka sa paaralan.,FSL,place
WE AT WORK,We're at work.,Nasa trabaho tayo.,FSL,place
I COOK,I'm cooking.,Nagluluto ako.,FSL,neutral
YOU HAVE TIME,You have time.,Mayroon kang oras.,FSL,neutral
HEY FAMILY WHATSUP,"Hey, family, what's up?",Hoy pamilya ano ang balita?,MIXED,question
ONE I HAVE,I got one.,Mayroon akong isa.,ASL,number
SHE NO TIRED,She is not tired.,Hindi siya pagod.,FSL,emotion
WHERE YOU GO,Where will you go?,Saan ka pupunta?,FSL,question
WALK WE NEED,We need to walk.,Kailangan nating maglakad.,ASL,action
YOU VERY SAD,You're very sad.,Napakalungkot mo.,FSL,emotion
I STUDY SCHOOL,I study at school.,Nag-aaral ako sa paaralan.,FSL,place
PLEASE GO,Please go.,Pakiusap umalis ka.,FSL,imperative
I TOO HAPPY,I am too happy.,Sobrang saya ko.,FSL,emotion
YOU COME SCHOOL SOON,You will come to school soon.,Pupunta ka sa paaralan mamaya.,FSL,place
I GO STORE,I'm going to the store.,Pupunta ako sa tindahan.,FSL,place
TODAY SHE SLEEP,She's sleeping today.,Ngayon natutulog siya.,ASL,action
I NEED READ,I need to read.,Kailangan kong magbasa.,FSL,action
BE QUIET,Shut up.,Tumahimik ka.,FSL,imperative
I THINK I GO,I think I'm going.,Sa palagay ko pupunta ako.,FSL,neutral
I OPEN BOOK,I'll open the book.,Binubuksan ko ang libro.,FSL,neutral
YOU FEEL SAD NOW,You're feeling sad now.,Malungkot ka ngayon.,FSL,emotion
HE TELL TRUTH,He's telling the truth.,Sinasabi niya ang totoo.,FSL,neutral
I LEAVE,I leave.,Umaalis ako.,FSL,neutral
HIS FRIEND CALL HE,His friend's calling him.,Tumatawag sa kanya ang kanyang kaibigan.,ASL,people
YOU PRACTICE,You're practicing.,Nagsasanay ka.,FSL,neutral
I LIKE YOU FRIEND,I like you friend.,Gusto kita kaibigan.,ASL,common_verbs
I HELP MOTHER COOK FOOD HOME,I'm helping my mother cook at home.,Tinutulungan ko ang aking ina magluto ng pagkain sa bahay.,FSL,people
I GO HOME TOMORROW MORNING HAPPY,I will go home tomorrow morning happily.,Uuwi ako bukas ng umaga nang masaya.,FSL,time
YOU SCARED,You're scared.,Takot ka.,FSL,emotion
I LIKE MOTHER,I like my mother.,Gusto ko ang aking ina.,FSL,people
I CAN PLAY GOOD,I can play well.,Makakapaglaro akong mabuti.,FSL,action
I MEAN IT,I mean it.,Seryoso ako.,FSL,neutral
SHE COOK,She cooks.,Nagluluto siya.,FSL,neutral
HE NO ANGRY,He is not angry.,Hindi siya galit.,FSL,emotion
I SPEAK,I speak.,Nagsasalita ako.,FSL,neutral
I NEED YOU HELP,I need your help.,Kailangan ko ng tulong mo.,FSL,imperative
I DESCRIBE,I'll describe it.,Inilalarawan ko.,FSL,neutral
I SURE ABOUT IT,I'm sure.,Sigurado ako tungkol dito.,FSL,neutral
YOU ARRIVE,They're coming.,Dumarating ka.,FSL,neutral
BAD HE,He is bad.,Masama siya.,ASL,common_verbs
YOU PROMISE ME,Promise me.,Nangangako ka sa akin.,FSL,neutral
SHE SAD HOME,She is sad at home.,Malungkot siya sa bahay.,FSL,place
WE SAD,We're sad.,Malungkot tayo.,FSL,emotion
TODAY YOU WORK,You're working today.,Nagtatrabaho ka ngayon.,FSL,time
I STILL HERE,I'm still here.,Nandito pa rin ako.,FSL,time
THING,A thing.,Isang bagay.,MIXED,object_things
I BECOME HAPPY,I become happy.,Nagiging masaya ako.,FSL,emotion
HE COUNT FOUR,He counts four.,Binibilang niya ang apat.,FSL,number
HE NOT TIRED,He is not tired.,Hindi siya pagod.,FSL,emotion
PROBABLY,Probably.,Malamang.,MIXED,neutral
I RUN,I run.,Tumatakbo ako.,FSL,action
HE GIVE UP,He's giving up.,Sumusuko siya.,FSL,neutral
I HELP YOU,I'll help you.,Tutulungan kita.,ASL,common_verbs
HE FINISH WALK,He finishes walking.,Natapos siyang maglakad.,FSL,action
HE READ BOOK,He's reading a book.,Nagbabasa siya ng libro.,FSL,common_verbs
READ YOU LIKE,You like to read.,Gusto mong magbasa.,ASL,action
MORNING GOOD EVERYONE,Good morning everyone.,Magandang umaga sa inyong lahat.,ASL,greeting
YOU LIKE HOUSE,You like houses.,Gusto mo ng bahay.,FSL,object_things
HE EAT,He's eating.,Kumakain siya.,FSL,common_verbs
SHE TIRED TOMORROW,She will be tired tomorrow.,Pagod siya bukas.,FSL,emotion
YOU STUDY,You're learning.,Nag-aaral ka.,FSL,neutral
HE STAY HOME,He stays home.,Nananatili siya sa bahay.,FSL,place
NINE,Nine.,Siyam.,MIXED,number
MAYBE HE HELP,Maybe he'll help.,Baka tumulong siya.,FSL,common_verbs
TOMORROW,Tomorrow.,Bukas.,MIXED,time
HE NEED HOW MANY,How many does he need?,Ilan ang kailangan niya?,ASL,question
I RETURN,I return.,Bumabalik ako.,FSL,neutral
SHE PLAY GAME,She's playing a game.,Naglalaro siya ng laro.,FSL,action
NINE WATER,Nine waters.,Siyam na tubig.,MIXED,number
I HAVE ONE TWO,I have one and two.,Mayroon akong isa at dalawa.,FSL,number
WE WALK,We are walking.,Naglalakad tayo.,FSL,common_verbs
THEY EAT FOOD,They eat food.,Kumakain sila ng pagkain.,FSL,object_things
I NEED SLEEP,I have to sleep.,Kailangan kong matulog.,FSL,action
HE THANK HIS FRIEND,He thanks his friend.,Nagpapasalamat siya sa kanyang kaibigan.,FSL,people
FOOD WE NEED,We need food.,Kailangan natin ng pagkain.,ASL,object_things
RED BOOK,Red book.,Pulang libro.,MIXED,color
I ANSWER,I answer.,Sumasagot ako.,FSL,neutral
WORK,Work.,Trabaho.,MIXED,place
HE WORK TOMORROW,He's working tomorrow.,Magtatrabaho siya bukas.,FSL,time
HOW YOU FEEL,How are you feeling?,Paano ang pakiramdam mo?,FSL,question
MORNING SHE DRINK,In the morning she drinks.,Umiinom siya sa umaga.,ASL,common_verbs
WE HAVE CAR,We have a car.,Mayroon tayong kotse.,FSL,object_things
I RIDE CAR,I'm driving in the car.,Sumasakay ako sa kotse.,FSL,neutral
SHE NO TIRED,She's not tired.,Hindi siya pagod.,FSL,emotion
WE PLAY THEY,We're playing with them.,Naglalaro tayo kasama sila.,FSL,action
YOU EAT WITH FAMILY HOME,You eat with your family at home.,Kumakain ka kasama ang iyong pamilya sa bahay.,FSL,place
HE PLAY SHE,He plays with her.,Naglalaro siya kasama niya.,FSL,action
HE WEAR BLACK,He's wearing black.,Sumusuot siya ng itim.,FSL,neutral
YOU HAVE WHAT,What do you have?,Ano ang mayroon ka?,ASL,question
TWO BOOK,Two books.,Dalawang libro.,MIXED,number
I TEACH,I teach.,Nagtuturo ako.,FSL,neutral
I CHECK,I check.,Sinusuri ko.,FSL,neutral
YOU LITTLE SAD,You are a little sad.,Medyo malungkot ka.,FSL,emotion
YOU COME TOMORROW,You come tomorrow.,Darating ka bukas.,FSL,time
YOU START RUN NOW,You start running now.,Nagsisimula kang tumakbo ngayon.,FSL,action
YOU TRUST ME,You trust me.,Nagtitiwala ka sa akin.,FSL,neutral
I HATE STOP,I hate to stop.,Ayaw kong tumigil.,FSL,action
YOU RUN,You're running.,Tumatakbo ka.,FSL,action
SHE STUDY WHAT,What's she learning?,Ano ang pinag-aaralan niya?,ASL,question
WHAT BOOK YOU READ,What book do you read?,Anong libro ang binabasa mo?,FSL,question
I CHOOSE,I choose.,Pumipili ako.,FSL,neutral
I GET,I get.,Nakukuha ko.,FSL,neutral
YOU HAPPY TODAY WHY,Why are you happy today?,Bakit ka masaya ngayon?,ASL,question
HE FEEL BETTER,He feels better.,Mas mabuti na ang pakiramdam niya.,FSL,neutral
YOU SELL,You sell.,Nagbebenta ka.,FSL,neutral
I NO NEED,I don't need.,Hindi ko kailangan.,FSL,neutral
I CAN PLAY GOOD,I'm good at playing.,Makakapaglaro akong mabuti.,FSL,action
WE LIKE READ,We like to read.,Gusto nating magbasa.,FSL,action
YOU MUST STOP,You must stop.,Dapat kang tumigil.,FSL,imperative
YOU CARRY BOOK,You're carrying the book.,Dala mo ang libro.,FSL,neutral
TELL ME,Tell me.,Sabihin mo sa akin.,FSL,imperative
YOU WRONG,You're wrong.,Mali ka.,FSL,neutral
WRITE THEY,You write.,Sumusulat sila.,ASL,action
WORK HE STAY,He stays at work.,Nananatili siya sa trabaho.,ASL,place
WHEN WE START,When do we start?,Kailan tayo magsisimula?,FSL,question
THEY SCARED NIGHT,They are scared at night.,Takot sila sa gabi.,FSL,emotion
I SLEEP,I am sleeping.,Natutulog ako.,FSL,common_verbs
EAT THIS,Eat this.,Kainin mo ito.,FSL,imperative
I SORRY FOR YOU,I'm sorry for you.,Nakakaawa ka.,FSL,emotion
THEY STUDY,They study.,Nag-aaral sila.,FSL,neutral
I OPEN DOOR,I'll open the door.,Binubuksan ko ang pinto.,FSL,neutral
SHE HAVE FOUR BOOK,She has four books.,Mayroon siyang apat na libro.,FSL,number
FRIEND FAMILY GOOD,My friends and family are good.,Mabuti ang aking mga kaibigan at pamilya.,ASL,people
WHAT TIME YOU COME,What time do you come?,Anong oras ka darating?,FSL,question
YOU CARE ABOUT ME,You care about me.,Mahalaga ako sa iyo.,FSL,neutral
YOU DO,You do it.,Ginagawa mo.,FSL,neutral
SHE OUTSIDE HOUSE,She's outside the house.,Nasa labas siya ng bahay.,FSL,place
YOU MOST SAD,You are the saddest.,Ikaw ang pinakamalungkot.,FSL,emotion
I THINK HE HELP,I think he'll help.,Sa palagay ko tutulong siya.,FSL,neutral
I THINK ABOUT YOU,I'm thinking about you.,Iniisip kita.,FSL,neutral
YOU IMPROVE,You improve.,Bumubuti ka.,FSL,neutral
WE GO WORK,We're going to work.,Pupunta tayo sa trabaho.,FSL,place
THEY NEED WHITE,You need white.,Kailangan nila ng puti.,FSL,color
I FEEL BAD,I feel bad.,Masama ang pakiramdam ko.,FSL,neutral
YES YOU COME,Yes you will come.,Oo darating ka.,FSL,common_verbs
HE HAVE FOUR,He has four.,Mayroon siyang apat.,FSL,number
DO THIS,Do this.,Gawin mo ito.,FSL,imperative
THEY LIKE PHONE,They like phones.,Gusto nila ng telepono.,FSL,object_things
SHE SEE YELLOW PHONE,She sees a yellow phone.,Nakikita niya ang dilaw na telepono.,FSL,color
I LOVE YOU FATHER,I love you father.,Mahal kita ama.,ASL,common_verbs
TOMORROW HE GO WORK,He's going to work tomorrow.,Bukas pupunta siya sa trabaho.,FSL,place
I SLEEP,I'm sleeping.,Natutulog ako.,FSL,common_verbs
YOU WILL COME TODAY,You're coming today.,Darating ka ngayon.,FSL,time
I PLAY FRIEND HOME HAPPY,I play happily with my friend at home.,Naglalaro ako kasama ang aking kaibigan sa bahay nang masaya.,FSL,people
SHE CAN PLAY,She can play.,Makakapaglaro siya.,FSL,action
I FEEL HAPPY TODAY,I feel happy today.,Masaya ako ngayon.,FSL,emotion
THEY SLEEP NIGHT,They sleep at night.,Natutulog sila sa gabi.,FSL,common_verbs
YOU CARRY BOOK,You carry the book.,Dala mo ang libro.,FSL,neutral
I START,I'll start.,Nagsisimula ako.,FSL,neutral
I COOK,I cook.,Nagluluto ako.,FSL,neutral
YOU CAN COME SCHOOL,You can come to school.,Makakapunta ka sa paaralan.,FSL,place
HE TEACH SHE WRITE,He teaches her to write.,Tinuturuan niya siyang sumulat.,FSL,action
SHE TIRED WORK,She is tired from work.,Pagod siya sa trabaho.,FSL,emotion
I FEEL THIRSTY,I feel thirsty.,Uhaw ako.,FSL,neutral
I SUPPORT YOU,I support you.,Sinusuportahan kita.,FSL,neutral
WHATSUP YOU TODAY,What's up with you today?,Ano ang balita mo ngayon?,MIXED,question
I WANT ONE MORE,I want one more.,Gusto ko ng isa pa.,FSL,number
YESTERDAY THEY PLAY,Yesterday they played.,Kahapon naglaro sila.,ASL,time
HE GO SCHOOL TODAY,He goes to school today.,Pumupunta siya sa paaralan ngayon.,FSL,time
NIGHT YOU SLEEP,At night you sleep.,Sa gabi natutulog ka.,FSL,time
WHY THEY LEAVE,Why are they leaving?,Bakit sila umaalis?,FSL,question
HOW FAR YOU GO,How far do you go?,Gaano kalayo ka pupunta?,FSL,question
HE DO,He does it.,Ginagawa niya.,FSL,neutral
YOU UNDERSTAND LATER,You'll understand later.,Maiintindihan mo mamaya.,FSL,neutral
YOU HELP THEY,You're helping them.,Tinutulungan mo sila.,ASL,common_verbs
NIGHT YOU GOOD,Good night.,Magandang gabi sa iyo.,ASL,greeting
HE WORK YESTERDAY NIGHT TIRED,He worked last night tired.,Nagtrabaho siya kagabi nang pagod.,FSL,time
YOU NO COME,You're not coming.,Hindi ka darating.,FSL,neutral
HE FINISH,He finishes.,Natapos siya.,FSL,neutral
TOMORROW YOU COME,Tomorrow you come.,Bukas darating ka.,ASL,time
TODAY HE HOME,He's home today.,Nasa bahay siya ngayon.,FSL,time
I USE PHONE,I'm using a phone.,Gumagamit ako ng telepono.,FSL,object_things
I DESCRIBE,I describe.,Inilalarawan ko.,FSL,neutral
I TOO HAPPY,I'm too happy.,Sobrang saya ko.,FSL,emotion
I WANT PHONE,I want a phone.,Gusto ko ng telepono.,FSL,object_things
WHAT TIME YOU SLEEP,When are you going to sleep?,Anong oras ka natutulog?,FSL,question
HE CLEAN,He's cleaning.,Naglilinis siya.,FSL,neutral
BOOK YOU WRITE,You write a book.,Sumusulat ka ng libro.,ASL,object_things
THEY ANGRY,They are angry.,Galit sila.,FSL,emotion
YOU RUN WHY,Why are you running away?,Bakit ka tumatakbo?,ASL,question
HELLO EVERYONE,Hello everyone.,Kamusta sa inyong lahat.,FSL,greeting
I LIKE BLUE MORE,I like more blue.,Mas gusto ko ang asul.,FSL,color
YOU THINK ABOUT ME,You're thinking about me.,Iniisip mo ako.,FSL,neutral
WE WALK HOME AFTERNOON,We walk home in the afternoon.,Naglalakad tayo pauwi sa hapon.,FSL,common_verbs
YOU REMEMBER EVERYTHING,You remember everything.,Naaalala mo ang lahat.,FSL,neutral
THEY FEEL SCARED,They feel scared.,Nakakaramdam sila ng takot.,FSL,emotion
PLEASE STAND,Please stand up.,Pakiusap tumayo.,FSL,imperative
THEY STUDY,You're studying.,Nag-aaral sila.,FSL,neutral
YES I HELP YOU,"Yeah, I'll help you.",Oo tutulungan kita.,MIXED,common_verbs
WHATSUP YOU TODAY,What's wrong with you today?,Ano ang balita mo ngayon?,MIXED,question
HE MIGHT HELP YOU,He might help you.,Baka tumulong siya sa iyo.,FSL,common_verbs
